Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,cores,Total time
1,1.322,0,0,27,26,50,50,37.4833,1,maps/cross50.bmp,,,,
1,1.034,0,0,2,42,50,50,42.0476,1,maps/50map.bmp,,,,
1,0.994,0,0,36,15,50,50,39,1,maps/50mapAOR.bmp,,,,
1,418.968,0,0,533,864,1000,1000,1015.18,1,maps/1000AOR_wObs.bmp,,,,
1,4.133,0,0,7,96,100,100,96.2549,1,maps/100map.bmp,,,,
1,419.224,0,0,642,605,1000,1000,882.15,1,maps/1000Geometric.bmp,,,,
1,1.195,0,0,33,29,50,50,43.9318,1,maps/cross50.bmp,,,,
1,1.07,0,0,34,25,50,50,42.2019,1,maps/50map.bmp,,,,
1,0.996,0,0,24,17,50,50,29.4109,1,maps/50mapAOR.bmp,,,,
1,420.956,0,0,760,179,1000,1000,780.795,1,maps/1000AOR_wObs.bmp,,,,
1,3.838,0,0,13,80,100,100,81.0494,1,maps/100map.bmp,,,,
1,417.901,0,0,982,310,1000,1000,1029.77,1,maps/1000Geometric.bmp,,,,
1,1.105,0,0,17,20,50,50,26.2488,1,maps/cross50.bmp,,,,
1,1.019,0,0,6,28,50,50,28.6356,1,maps/50map.bmp,,,,
1,1,0,0,11,24,50,50,26.4008,1,maps/50mapAOR.bmp,,,,
1,415.78,0,0,921,934,1000,1000,1311.72,1,maps/1000AOR_wObs.bmp,,,,
1,3.702,0,0,5,56,100,100,56.2228,1,maps/100map.bmp,,,,
1,413.779,0,0,977,782,1000,1000,1251.42,1,maps/1000Geometric.bmp,,,,
1,1.167,0,0,46,28,50,50,53.8516,1,maps/cross50.bmp,,,,
1,1.007,0,0,32,48,50,50,57.6888,1,maps/50map.bmp,,,,
1,1.038,0,0,16,39,50,50,42.1545,1,maps/50mapAOR.bmp,,,,
1,414.656,0,0,718,714,1000,1000,1012.58,1,maps/1000AOR_wObs.bmp,,,,
1,3.76,0,0,79,3,100,100,79.0569,1,maps/100map.bmp,,,,
1,409.665,0,0,416,764,1000,1000,869.915,1,maps/1000Geometric.bmp,,,,
1,1.137,0,0,21,26,50,50,33.4215,1,maps/cross50.bmp,,,,
1,1.048,0,0,26,43,50,50,50.2494,1,maps/50map.bmp,,,,
1,1.018,0,0,21,25,50,50,32.6497,1,maps/50mapAOR.bmp,,,,
1,423.639,0,0,704,167,1000,1000,723.536,1,maps/1000AOR_wObs.bmp,,,,
1,3.993,0,0,84,23,100,100,87.0919,1,maps/100map.bmp,,,,
1,419.424,0,0,231,811,1000,1000,843.257,1,maps/1000Geometric.bmp,,,,
1,1.116,0,0,11,49,50,50,50.2195,1,maps/cross50.bmp,,,,
1,0.992,0,0,48,34,50,50,58.8218,1,maps/50map.bmp,,,,
1,1.004,0,0,13,23,50,50,26.4197,1,maps/50mapAOR.bmp,,,,
1,411.881,0,0,120,806,1000,1000,814.884,1,maps/1000AOR_wObs.bmp,,,,
1,3.822,0,0,65,60,100,100,88.459,1,maps/100map.bmp,,,,
1,409.011,0,0,370,547,1000,1000,660.385,1,maps/1000Geometric.bmp,,,,
1,1.115,0,0,44,30,50,50,53.2541,1,maps/cross50.bmp,,,,
